"Gene","Alias"
"GPI","GPI;AMF;CNSHA4;GNPI;NLK;PGI;PHI;SA-36;SA36"
"ADSL","ADSL"
"TNN","TNN"
"IREB2","IREB2"
"TRPV5","TRPV5"
"TNFSF12-TNFSF13","TNFSF12-TNFSF13"
"RASGRP3","RASGRP3;GRP3"
"C7orf55-LUC7L2","C7orf55-LUC7L2"
"STON1-GTF2A1L","STON1-GTF2A1L;ALF;GTF2A1L;GTF2A1LF;SALF"
"NCAPH2","NCAPH2"
"ARPC4-TTLL3","ARPC4-TTLL3"
"LPPR4","LPPR4"
"NSG1","NSG1"
"TFF3","TFF3"
"ST20-MTHFS","ST20-MTHFS"
"HPD","HPD"
"FCAMR","FCAMR"
"PTPN22","PTPN22"
"PI4KB","PI4KB"
"EPHA6","EPHA6"
"ZDHHC19","ZDHHC19"
"CACNA1G","CACNA1G"
"TTC21A","TTC21A"
"GGCT","GGCT"
"NMU","NMU"
"A0A0B4J203","A0A0B4J203"
"HTR3A","HTR3A"
"PRPS1L1","PRPS1L1"
"NIN","NIN;SCKL7"
"NADSYN1","NADSYN1"
"IMMP1L","IMMP1L"
"CUTC","CUTC"
"ATPIF1","ATPIF1"
"RBP5","RBP5;CRABP;CRABP-I;CRABPI"
"MVK","MVK"
"DAD1","DAD1"
"DAO","DAO"
"CDH16","CDH16"
"NOX5","NOX5"
"A0A0B4J293","A0A0B4J293"
"A0A0B4J2A0","A0A0B4J2A0"
"PPP1R14A","PPP1R14A"
"ACAA2","ACAA2"
"TPT1","TPT1"
"MS4A2","MS4A2"
"LRTOMT","LRTOMT"
"FCHO1","FCHO1"
"CYP51A1","CYP51A1"
"KDM4B","KDM4B"
"GSTZ1","GSTZ1"
"ZCCHC11","ZCCHC11"
"TRAF4","TRAF4"
"MFN1","MFN1"
"GCKR","GCKR"
"NGLY1","NGLY1"
"TMEM67","TMEM67"
"KCNJ1","KCNJ1"
"KLK4","KLK4"
"UXT","UXT"
"SPRY4","SPRY4"
"SLC26A6","SLC26A6"
"GYPA","GYPA"
"SOD2","SOD2"
"SNX27","SNX27"
"XYLT2","XYLT2"
"EMILIN1","EMILIN1"
"NELFA","NELFA;NELF-A;P/OKcl.15;WHSC2"
"CACNG7","CACNG7"
"STX1A","STX1A"
"ARSA","ARSA"
"PAN3","PAN3"
"DNMT3A","DNMT3A"
"NBN","NBN;AT-V1;AT-V2;ATV;NBS;NBS1;P95;hNbs1"
"ACOXL","ACOXL"
"RPSA","RPSA"
"HLCS","HLCS"
"PEX1","PEX1"
"SCN9A","SCN9A;ETHA;FEB3B;GEFSP7;HSAN2D;NE-NA;NENA;Nav1.7;PN1;SFNP"
"SYBU","SYBU"
"GGTLC2","GGTLC2"
"HLTF","HLTF"
"DIMT1","DIMT1"
"GCLC","GCLC"
"PPA2","PPA2;HSPC124;SCFAI;SCFI;SID6-306"
"CCNL2","CCNL2"
"STX3","STX3"
"SMC2","SMC2"
"LONRF1","LONRF1"
"BEST1","BEST1"
"KLHL6","KLHL6;CISS3;PERCHING;SBBI26"
"PACSIN3","PACSIN3"
"COX7B2","COX7B2"
"CHD4","CHD4;CHD-4;Mi-2b;Mi2-BETA;SIHIWES"
"CS","CS"
"PAPOLA","PAPOLA"
"APEX1","APEX1"
"MAN2A2","MAN2A2"
"TRPM7","TRPM7;ALSPDC;CHAK;CHAK1;LTRPC7;LTrpC-7;TRP-PLIK"
"DUT","DUT"
"HP","HP"
"KIFC3","KIFC3"
"PDE6G","PDE6G"
"ATP2A3","ATP2A3;SERCA3"
"PRKCSH","PRKCSH"
"EML2","EML2"
"DNAH6","DNAH6"
"DDOST","DDOST"
"FAM65B","FAM65B;C6orf32;DFNA21;DFNB104;DIFF40;DIFF48;MYONAP;PL48"
"CATSPER4","CATSPER4"
"ACD","ACD"
"FBXO31","FBXO31"
"MAN2C1","MAN2C1"
"LAMTOR5","LAMTOR5;HBXIP;XIP"
"RBP4","RBP4"
"LIG4","LIG4"
